Titration Data Only,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,,,,,,,,
,Time,,,,,Meas. value,,,,,,Temp.,,,dE,,,,,,,,,,
,[s],,,,,[mV],,,,,,[°C],,,[mV],,,,,,,,,,
,1,,,,,-27.0,,,,,,19.5,,,,,,,,,,,,,
,2,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,3,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,4,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,5,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,6,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,7,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,8,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,9,,,,,-27.1,,,,,,19.5,,,-0.1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Titration (EP) [1],,,,,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,,,,,,,,
,Time,,V,,,,Meas. value,,dV,,,,Temp.,dE,,,,,,EP,,,,,
,[s],,[mL],,,,[mV],,[mL],,,,[°C],[mV],,,,,,,,,,,
,15,,0.1000,,,,202.6,,0.0200,,,,19.9,2.2,,,,,107.59,,,,,,
,18,,0.1200,,,,204.7,,0.0200,,,,19.9,2.1,,,,,97.12,,,,,,
,21,,0.1400,,,,206.5,,0.0200,,,,19.9,1.8,,,,,88.75,,,,,,
,24,,0.1600,,,,208.2,,0.0200,,,,19.9,1.7,,,,,82.85,,,,,,
,27,,0.1800,,,,209.8,,0.0200,,,,19.9,1.6,,,,,77.83,,,,,,
,30,,0.2000,,,,211.3,,0.0200,,,,19.9,1.5,,,,,74.12,,,,,,
,33,,0.2200,,,,212.8,,0.0200,,,,19.9,1.5,,,,,71.50,,,,,,
,36,,0.2400,,,,214.2,,0.0200,,,,19.9,1.4,,,,,68.21,,,,,,
,39,,0.2600,,,,215.5,,0.0200,,,,19.9,1.3,,,,,65.00,,,,,,
,42,,0.2800,,,,216.8,,0.0200,,,,19.9,1.3,,,,,61.79,,,,,,
,45,,0.3000,,,,218.0,,0.0200,,,,19.9,1.2,,,,,57.92,,,,,,
,48,,0.3200,,,,219.1,,0.0200,,,,19.9,1.1,,,,,54.70,,,,,,
,51,,0.3400,,,,220.2,,0.0200,,,,19.9,1.1,,,,,51.71,,,,,,
,54,,0.3600,,,,221.2,,0.0200,,,,19.9,1.0,,,,,49.12,,,,,,
,57,,0.3800,,,,222.1,,0.0200,,,,19.9,0.9,,,,,47.42,,,,,,
,60,,0.4000,,,,223.1,,0.0200,,,,19.9,1.0,,,,,46.49,,,,,,
,64,,0.4200,,,,224.0,,0.0200,,,,19.9,0.9,,,,,45.71,,,,,,
,66,,0.4400,,,,224.9,,0.0200,,,,19.9,0.9,,,,,45.01,,,,,,
,70,,0.4600,,,,225.8,,0.0200,,,,19.9,0.9,,,,,44.07,,,,,,
,72,,0.4800,,,,226.7,,0.0200,,,,19.9,0.9,,,,,42.51,,,,,,
,76,,0.5000,,,,227.5,,0.0200,,,,19.9,0.8,,,,,41.00,,,,,,
,78,,0.5200,,,,228.3,,0.0200,,,,19.9,0.8,,,,,39.00,,,,,,
,82,,0.5400,,,,229.1,,0.0200,,,,19.9,0.8,,,,,37.49,,,,,,
,85,,0.5600,,,,229.8,,0.0200,,,,19.9,0.7,,,,,35.93,,,,,,
,88,,0.5800,,,,230.5,,0.0200,,,,19.9,0.7,,,,,34.99,,,,,,
