Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,60,,0.4000,,,,,223.0,,0.0200,,,21.9,,,,1.1,
,63,,0.4200,,,,,223.9,,0.0200,,,21.9,,,,0.9,
,66,,0.4400,,,,,224.9,,0.0200,,,21.9,,,,1.0,
,70,,0.4600,,,,,225.9,,0.0200,,,21.9,,,,1.0,
,72,,0.4800,,,,,226.7,,0.0200,,,21.9,,,,0.8,
,76,,0.5000,,,,,227.6,,0.0200,,,21.9,,,,0.9,
,79,,0.5200,,,,,228.5,,0.0200,,,21.9,,,,0.9,
,82,,0.5400,,,,,229.3,,0.0200,,,21.9,,,,0.8,
,85,,0.5600,,,,,230.0,,0.0200,,,21.9,,,,0.7,
,88,,0.5800,,,,,230.7,,0.0200,,,21.9,,,,0.7,
,91,,0.6000,,,,,231.5,,0.0200,,,21.9,,,,0.8,
,94,,0.6200,,,,,232.2,,0.0200,,,21.9,,,,0.7,
,97,,0.6400,,,,,232.9,,0.0200,,,21.9,,,,0.7,
,100,,0.6600,,,,,233.6,,0.0200,,,21.9,,,,0.7,
,103,,0.6800,,,,,234.2,,0.0200,,,21.9,,,,0.6,
,106,,0.7000,,,,,234.9,,0.0200,,,21.9,,,,0.7,
,109,,0.7200,,,,,235.5,,0.0200,,,21.9,,,,0.6,
,112,,0.7400,,,,,236.1,,0.0200,,,21.9,,,,0.6,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 3/19",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/19",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-61.4,,,,,,21.5,,,,,,,
,2,,,,-61.4,,,,,,21.5,,,,0.0,,,
,3,,,,-61.4,,,,,,21.5,,,,0.0,,,
,4,,,,-61.4,,,,,,21.5,,,,0.0,,,
,5,,,,-61.4,,,,,,21.5,,,,0.0,,,
,6,,,,-61.5,,,,,,21.5,,,,-0.1,,,
,7,,,,-61.4,,,,,,21.5,,,,0.1,,,
,8,,,,-61.4,,,,,,21.5,,,,0.0,,,
,9,,,,-61.5,,,,,,21.5,,,,-0.1,,,
,10,,,,-61.5,,,,,,21.5,,,,0.0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 3/19",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/19",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0.0000,,,,-61.5,,,,,,21.5,,,,,,
,1,0.0010,,,,-61.5,,,0.0010,,,21.5,,0.0,,,,
,2,0.0050,,,,-61.5,,,0.0040,,,21.5,,0.0,,,,
,3,0.0110,,,,-61.3,,,0.0060,,,21.5,,0.2,,,,
,4,0.0195,,,,-60.6,,,0.0085,,,21.5,,0.7,,,,
,5,0.0335,,,,-59.2,,,0.0140,,,21.5,,1.4,,,,
,6,0.0540,,,,-56.6,,,0.0205,,,21.5,,2.6,,,,
,7,0.0780,,,,-53.0,,,0.0240,,,21.5,,3.6,,,,
,8,0.1115,,,,-47.3,,,0.0335,,,21.5,,5.7,,,,
,9,0.1530,,,,-39.0,,,0.0415,,,21.5,,8.3,,,,
,10,0.2045,,,,-28.2,,,0.0515,,,21.5,,10.8,,,,
,11,0.2670,,,,-16.9,,,0.0625,,,21.5,,11.3,,,,
,12,0.3410,,,,-4.9,,,0.0740,,,21.5,,12.0,,,,
,13,0.4180,,,,5.3,,,0.0770,,,21.5,,10.2,,,,
,14,0.5165,,,,18.9,,,0.0985,,,21.5,,13.6,,,,
,15,0.6280,,,,33.2,,,0.1115,,,21.5,,14.3,,,,
,16,0.7525,,,,53.5,,,0.1245,,,21.5,,20.3,,,,
,17,0.8900,,,,77.2,,,0.1375,,,21.6,,23.7,,,,
,18,0.9765,,,,103.9,,,0.0865,,,21.5,,26.7,,,,
,19,0.9775,,,,105.7,,,0.0010,,,21.6,,1.8,,,,
,20,0.9805,,,,104.4,,,0.0030,,,21.6,,-1.3,,,,
,21,0.9850,,,,105.7,,,0.0045,,,21.6,,1.3,,,,
,22,0.9920,,,,108.1,,,0.0070,,,21.6,,2.4,,,,
,23,1.0025,,,,111.7,,,0.0105,,,21.6,,3.6,,,,
,24,1.0160,,,,117.1,,,0.0135,,,21.6,,5.4,,,,
,25,1.0300,,,,122.6,,,0.0140,,,21.6,,5.5,,,,
,26,1.0465,,,,129.9,,,0.0165,,,21.6,,7.3,,,,
,27,1.0605,,,,135.6,,,0.0140,,,21.6,,5.7,,,,
,28,1.0745,,,,141.5,,,0.0140,,,21.6,,5.9,,,,
,29,1.0855,,,,147.1,,,0.0110,,,21.6,,5.6,,,,
,30,1.0915,,,,152.1,,,0.0060,,,21.6,,5.0,,,,
,31,1.0950,,,,154.9,,,0.0035,,,21.6,,2.8,,,,
,32,1.0990,,,,156.7,,,0.0040,,,21.6,,1.8,,,,
,33,1.1040,,,,158.9,,,0.0050,,,21.6,,2.2,,,,
,34,1.1105,,,,161.4,,,0.0065,,,21.6,,2.5,,,,
,35,1.1180,,,,164.3,,,0.0075,,,21.6,,2.9,,,,
,36,1.1230,,,,166.9,,,0.0050,,,21.6,,2.6,,,,
