Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-76.4,,,,,,21.1,,,,,,,
,40,1.1605,,,,172.7,,,0.0045,,,21.6,,1.7,,,,
,41,1.163,,,,173.8,,,0.0025,,,21.6,,1.1,,,,
,42,1.166,,,,174.6,,,0.003,,,21.6,,0.8,,,,
,43,1.169,,,,175.5,,,0.003,,,21.6,,0.9,,,,
,44,1.1735,,,,176.4,,,0.0045,,,21.6,,0.9,,,,
,45,1.1775,,,,177.5,,,0.004,,,21.6,,1.1,,,,
,46,1.1805,,,,178.4,,,0.003,,,21.6,,0.9,,,,
,47,1.1825,,,,179.1,,,0.002,,,21.6,,0.7,,,,
,48,1.185,,,,179.7,,,0.0025,,,21.6,,0.6,,,,
,49,1.1875,,,,180.2,,,0.0025,,,21.6,,0.5,,,,
,50,1.1895,,,,180.8,,,0.002,,,21.6,,0.6,,,,
,51,1.192,,,,181.3,,,0.0025,,,21.6,,0.5,,,,
,52,1.1945,,,,181.8,,,0.0025,,,21.6,,0.5,,,,
,53,1.195,,,,182.4,,,0.0005,,,21.6,,0.6,,,,
,54,1.1955,,,,182.6,,,0.0005,,,21.6,,0.2,,,,
,55,1.1975,,,,182.8,,,0.002,,,21.6,,0.2,,,,
,56,1.199,,,,183.1,,,0.0015,,,21.6,,0.3,,,,
,57,1.199,,,,183.4,,,0,,,21.6,,0.3,,,,
,58,1.2,,,,183.6,,,0.001,,,21.6,,0.2,,,,
,59,1.203,,,,183.8,,,0.003,,,21.6,,0.2,,,,
,60,1.203,,,,184.2,,,0,,,21.6,,0.4,,,,
,61,1.203,,,,184.3,,,0,,,21.6,,0.1,,,,
,62,1.203,,,,184.4,,,0,,,21.6,,0.1,,,,
,62,1.203,,,,184.4,,,0,,,21.6,,0,,,,
,,1.203,,,,184,,,,,,,,,,,,EP
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,dV,,,,Temp.,,,,dE,,
,[s],[mL],,,,[mV],,[mL],,,,[°C],,,,[mV],,
,0,0,,,,184.4,,,,,,21.9,,,,,,
,3,0.02,,,,187.5,,0.02,,,,21.9,,,,3.1,,
,6,0.04,,,,191.2,,0.02,,,,21.9,,,,3.7,,
,9,0.06,,,,194.4,,0.02,,,,21.9,,,,3.2,,
,12,0.08,,,,197.4,,0.02,,,,21.9,,,,3,,
,15,0.1,,,,200,,0.02,,,,21.9,,,,2.6,,
,18,0.12,,,,202.4,,0.02,,,,21.9,,,,2.4,,
,21,0.14,,,,204.6,,0.02,,,,21.9,,,,2.2,,
,24,0.16,,,,206.5,,0.02,,,,21.9,,,,1.9,,
,27,0.18,,,,208.2,,0.02,,,,21.9,,,,1.7,,
,30,0.2,,,,209.9,,0.02,,,,21.9,,,,1.7,,
,33,0.22,,,,211.5,,0.02,,,,21.9,,,,1.6,,
,36,0.24,,,,213.1,,0.02,,,,22,,,,1.6,,
,39,0.26,,,,214.5,,0.02,,,,22,,,,1.4,,
,42,0.28,,,,215.9,,0.02,,,,22,,,,1.4,,
,45,0.3,,,,217.2,,0.02,,,,22,,,,1.3,,
,48,0.32,,,,218.5,,0.02,,,,22,,,,1.3,,
,51,0.34,,,,219.7,,0.02,,,,22,,,,1.2,,
,54,0.36,,,,220.7,,0.02,,,,22,,,,1,,
,57,0.38,,,,221.7,,0.02,,,,22,,,,1,,
,60,0.4,,,,222.7,,0.02,,,,22,,,,1,,
,63,0.42,,,,223.7,,0.02,,,,22,,,,1,,
,66,0.44,,,,224.7,,0.02,,,,22,,,,1,,
,70,0.46,,,,225.6,,0.02,,,,22,,,,0.9,,
,72,0.48,,,,226.5,,0.02,,,,22,,,,0.9,,
,76,0.5,,,,227.4,,0.02,,,,22,,,,0.9,,
,78,0.52,,,,228.3,,0.02,,,,22,,,,0.9,,
,82,0.54,,,,229.1,,0.02,,,,22,,,,0.8,,
,84,0.56,,,,229.8,,0.02,,,,22,,,,0.7,,
,88,0.58,,,,230.5,,0.02,,,,22,,,,0.7,,
,90,0.6,,,,231.2,,0.02,,,,22,,,,0.7,,
,94,0.62,,,,231.9,,0.02,,,,22,,,,0.7,,
,97,0.64,,,,232.6,,0.02,,,,22,,,,0.7,,
,100,0.66,,,,233.4,,0.02,,,,22,,,,0.8,,
,103,0.68,,,,234,,0.02,,,,22,,,,0.6,,
,106,0.7,,,,234.7,,0.02,,,,22,,,,0.7,,
,109,0.72,,,,235.3,,0.02,,,,22,,,,0.6,,
,112,0.74,,,,235.9,,0.02,,,,22,,,,0.6,,
,115,0.76,,,,236.5,,0.02,,,,22,,,,0.6,,
,118,0.78,,,,237,,0.02,,,,22,,,,0.5,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 3/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-62.2,,,,,,21.6,,,,,,,
,2,,,,-62.2,,,,,,21.6,,,,0,,,
,3,,,,-62.3,,,,,,21.6,,,,-0.1,,,
,4,,,,-62.3,,,,,,21.6,,,,0,,,
,5,,,,-62.3,,,,,,21.6,,,,0,,,
,6,,,,-62.3,,,,,,21.6,,,,0,,,
,7,,,,-62.3,,,,,,21.6,,,,0,,,
,8,,,,-62.3,,,,,,21.7,,,,0,,,
,9,,,,-62.3,,,,,,21.7,,,,0,,,
,10,,,,-62.3,,,,,,21.7,,,,0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 3/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0,,,,-62.4,,,,,,21.7,,,,,,
,1,0.001,,,,-62.4,,,0.001,,,21.7,,0,,,,
,2,0.005,,,,-62.2,,,0.004,,,21.7,,0.2,,,,
,3,0.011,,,,-62.1,,,0.006,,,21.7,,0.1,,,,
,4,0.0195,,,,-61.5,,,0.0085,,,21.7,,0.6,,,,
,5,0.0335,,,,-60,,,0.014,,,21.7,,1.5,,,,
,6,0.054,,,,-57.5,,,0.0205,,,21.7,,2.5,,,,
,7,0.078,,,,-53.8,,,0.024,,,21.7,,3.7,,,,
,8,0.112,,,,-47.7,,,0.034,,,21.7,,6.1,,,,
,9,0.1535,,,,-39.2,,,0.0415,,,21.7,,8.5,,,,
,10,0.204,,,,-28.2,,,0.0505,,,21.7,,11,,,,
,11,0.2665,,,,-16.7,,,0.0625,,,21.7,,11.5,,,,
,12,0.3405,,,,-4.9,,,0.074,,,21.7,,11.8,,,,
,13,0.417,,,,5.2,,,0.0765,,,21.7,,10.1,,,,
,14,0.5155,,,,19.3,,,0.0985,,,21.7,,14.1,,,,
,15,0.6275,,,,33.6,,,0.112,,,21.7,,14.3,,,,
,16,0.751,,,,54,,,0.1235,,,21.7,,20.4,,,,
,17,0.8875,,,,77,,,0.1365,,,21.7,,23,,,,
,18,0.9735,,,,107,,,0.086,,,21.7,,30,,,,
,19,0.974,,,,107.6,,,0.0005,,,21.7,,0.6,,,,
,20,0.9775,,,,105.3,,,0.0035,,,21.7,,-2.3,,,,
,21,0.9825,,,,106.1,,,0.005,,,21.7,,0.8,,,,
,22,0.9905,,,,108.8,,,0.008,,,21.7,,2.7,,,,
,23,1.002,,,,112.3,,,0.0115,,,21.7,,3.5,,,,
,24,1.017,,,,117.5,,,0.015,,,21.7,,5.2,,,,
,25,1.032,,,,123.6,,,0.015,,,21.7,,6.1,,,,
,26,1.0495,,,,131.5,,,0.0175,,,21.7,,7.9,,,,
,27,1.062,,,,136.5,,,0.0125,,,21.7,,5,,,,
,28,1.0725,,,,141.4,,,0.0105,,,21.7,,4.9,,,,
,29,1.0835,,,,146.5,,,0.011,,,21.7,,5.1,,,,
,30,1.0925,,,,151.4,,,0.009,,,21.7,,4.9,,,,
,31,1.0975,,,,155,,,0.005,,,21.7,,3.6,,,,
,32,1.102,,,,157.6,,,0.0045,,,21.7,,2.6,,,,
,33,1.1075,,,,159.9,,,0.0055,,,21.7,,2.3,,,,
,34,1.114,,,,162.2,,,0.0065,,,21.7,,2.3,,,,
,35,1.1205,,,,165.3,,,0.0065,,,21.7,,3.1,,,,
,36,1.125,,,,167.4,,,0.0045,,,21.7,,2.1,,,,
,37,1.128,,,,169,,,0.003,,,21.7,,1.6,,,,
,38,1.131,,,,170.2,,,0.003,,,21.7,,1.2,,,,
,39,1.135,,,,171.3,,,0.004,,,21.7,,1.1,,,,
,40,1.1395,,,,172.7,,,0.0045,,,21.7,,1.4,,,,
,41,1.145,,,,174.2,,,0.0055,,,21.7,,1.5,,,,
,42,1.148,,,,175.5,,,0.003,,,21.7,,1.3,,,,
,43,1.1505,,,,176.4,,,0.0025,,,21.7,,0.9,,,,
,44,1.153,,,,177.2,,,0.0025,,,21.7,,0.8,,,,
,45,1.156,,,,177.9,,,0.003,,,21.7,,0.7,,,,
,46,1.1585,,,,178.7,,,0.0025,,,21.7,,0.8,,,,
,47,1.161,,,,179.4,,,0.0025,,,21.7,,0.7,,,,
,48,1.1635,,,,179.9,,,0.0025,,,21.7,,0.5,,,,
,49,1.166,,,,180.5,,,0.0025,,,21.7,,0.6,,,,
,50,1.168,,,,181.1,,,0.002,,,21.7,,0.6,,,,
,51,1.1705,,,,181.6,,,0.0025,,,21.7,,0.5,,,,
,52,1.172,,,,182.1,,,0.0015,,,21.7,,0.5,,,,
,53,1.1725,,,,182.4,,,0.0005,,,21.7,,0.3,,,,
,54,1.175,,,,182.7,,,0.0025,,,21.7,,0.3,,,,
,55,1.176,,,,183,,,0.001,,,21.7,,0.3,,,,
,56,1.176,,,,183.3,,,0,,,21.7,,0.3,,,,
,57,1.178,,,,183.4,,,0.002,,,21.7,,0.1,,,,
,58,1.18,,,,183.7,,,0.002,,,21.7,,0.3,,,,
,59,1.18,,,,184,,,0,,,21.7,,0.3,,,,
,,1.18,,,,184,,,,,,,,,,,,EP
,60,1.1805,,,,184.2,,,0.0005,,,21.7,,0.2,,,,
,61,1.1805,,,,184.2,,,0,,,21.7,,0,,,,
,62,1.1805,,,,184.3,,,0,,,21.7,,0.1,,,,
,62,1.1805,,,,184.3,,,0,,,21.7,,0,,,,
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 3/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,dV,,,,Temp.,,,,dE,,
,[s],[mL],,,,[mV],,[mL],,,,[°C],,,,[mV],,
,0,0,,,,184.5,,,,,,22,,,,,,
,3,0.02,,,,187.8,,0.02,,,,22,,,,3.3,,
,6,0.04,,,,191.4,,0.02,,,,22,,,,3.6,,
,9,0.06,,,,194.7,,0.02,,,,22,,,,3.3,,
,12,0.08,,,,197.7,,0.02,,,,22,,,,3,,
,15,0.1,,,,200.3,,0.02,,,,22,,,,2.6,,
,18,0.12,,,,202.8,,0.02,,,,22,,,,2.5,,
,21,0.14,,,,205,,0.02,,,,22,,,,2.2,,
,24,0.16,,,,206.9,,0.02,,,,22,,,,1.9,,
,27,0.18,,,,208.6,,0.02,,,,22,,,,1.7,,
,30,0.2,,,,210.3,,0.02,,,,22,,,,1.7,,
,33,0.22,,,,212,,0.02,,,,22,,,,1.7,,
,36,0.24,,,,213.5,,0.02,,,,22,,,,1.5,,
,39,0.26,,,,215,,0.02,,,,22,,,,1.5,,
,42,0.28,,,,216.3,,0.02,,,,22,,,,1.3,,
,45,0.3,,,,217.7,,0.02,,,,22,,,,1.4,,
,48,0.32,,,,219,,0.02,,,,22,,,,1.3,,
,51,0.34,,,,220.1,,0.02,,,,22,,,,1.1,,
,54,0.36,,,,221.2,,0.02,,,,22,,,,1.1,,
,57,0.38,,,,222.2,,0.02,,,,22,,,,1,,
,60,0.4,,,,223.3,,0.02,,,,22,,,,1.1,,
,63,0.42,,,,224.2,,0.02,,,,22,,,,0.9,,
,66,0.44,,,,225.2,,0.02,,,,22,,,,1,,
,69,0.46,,,,226.1,,0.02,,,,22,,,,0.9,,
,72,0.48,,,,227.1,,0.02,,,,22,,,,1,,
,76,0.5,,,,228,,0.02,,,,22,,,,0.9,,
,78,0.52,,,,228.8,,0.02,,,,22,,,,0.8,,
,82,0.54,,,,229.5,,0.02,,,,22,,,,0.7,,
,85,0.56,,,,230.3,,0.02,,,,22,,,,0.8,,
,88,0.58,,,,231.1,,0.02,,,,22,,,,0.8,,
,91,0.6,,,,231.8,,0.02,,,,22,,,,0.7,,
,94,0.62,,,,232.5,,0.02,,,,22,,,,0.7,,
,97,0.64,,,,233.2,,0.02,,,,22,,,,0.7,,
