Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/10",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,42,1.1470,,,,173.1,,,0.0030,,,19.4,,1.2,,,,
,43,1.1500,,,,173.9,,,0.0030,,,19.4,,0.8,,,,
,44,1.1535,,,,174.9,,,0.0035,,,19.4,,1.0,,,,
,45,1.1570,,,,175.8,,,0.0035,,,19.4,,0.9,,,,
,46,1.1600,,,,176.9,,,0.0030,,,19.4,,1.1,,,,
,47,1.1625,,,,177.6,,,0.0025,,,19.4,,0.7,,,,
,48,1.1650,,,,178.1,,,0.0025,,,19.4,,0.5,,,,
,49,1.1670,,,,178.7,,,0.0020,,,19.4,,0.6,,,,
,50,1.1695,,,,179.3,,,0.0025,,,19.4,,0.6,,,,
,51,1.1720,,,,179.9,,,0.0025,,,19.4,,0.6,,,,
,52,1.1740,,,,180.4,,,0.0020,,,19.4,,0.5,,,,
